IPO Name,IPO GMP,IPO Price Range,Expected Gains
Flair Writing Industries IPO GMP,Rs. 60,Rs. 288 to Rs. 304,19.74%
Fedbank Financial Services IPO GMP,Rs. 8,Rs. 133 to Rs. 140,5.71%
Gandhar Oil IPO GMP,Rs. 56,Rs. 160 to Rs. 169,33.14%
Tata Technologies IPO GMP,Rs. 350,Rs. 475 to Rs. 500,70.00%
IREDA IPO GMP,Rs. 7,Rs. 30 to Rs. 32,21.88%
,,,
Sunrest Lifescience IPO GMP,Rs. 5,Rs. 84,5.95%
